,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,36.42042349180983,36.590935,
2017-01-04,100000.0,0,0,1,37.13610866959649,36.080357,1.0
2017-01-05,100000.0,0,0,1,37.71263284059129,36.121197,1.0
2017-01-06,199972.50189372752,0,2653.0,-1,37.68281262485018,36.519794,-1.0
2017-01-09,100553.79122652815,0,0,1,37.47407111466241,36.4755,1.0
2017-01-10,100553.79122652815,0,0,1,38.149996004794254,36.71724,1.0
2017-01-11,100553.79122652815,0,0,1,38.965081901717944,37.126503,1.0
2017-01-12,100553.79122652815,0,0,1,38.89550139832202,37.16277,1.0
2017-01-13,100553.79122652815,0,0,1,38.71658010387536,37.912663,1.0
2017-01-17,201100.74975629244,0,2597.0,-1,38.71658010387536,38.22671,-1.0
2017-01-18,100218.2044586496,0,0,1,38.8458010387535,37.968517,1.0
2017-01-19,100218.2044586496,0,0,1,38.62711945665202,38.2227,1.0
2017-01-20,200429.42711945664,0,2587.0,-1,38.73646024770276,38.451153,-1.0
2017-01-23,101349.66296444266,0,0,1,38.2990970834998,38.3181,1.0
2017-01-24,101349.66296444266,0,0,1,38.86568118258091,38.582714,1.0
2017-01-25,101349.66296444266,0,0,1,39.32292449061127,38.62038,1.0
2017-01-26,101349.66296444266,0,0,1,39.23346384338794,38.897305,1.0
2017-01-27,101349.66296444266,0,0,1,39.37262485017979,39.222626,1.0
2017-01-30,101349.66296444266,0,0,1,39.37262485017979,39.25648,1.0
2017-01-31,101349.66296444266,0,0,1,39.969029165002,39.57279,1.0
2017-02-01,101349.66296444266,0,0,1,40.227471034758295,40.017048,1.0
2017-02-02,202682.66250099882,0,2519.0,-1,40.227471034758295,40.103695,-1.0
2017-02-03,202682.66250099882,0,2519.0,0,39.770227726727924,39.945835,-1.0
2017-02-06,202682.66250099882,0,2519.0,0,39.94914902117459,39.79195,-1.0
2017-02-07,102401.3026927687,0,0,1,39.80998801438274,39.575695,1.0
2017-02-08,204775.41542149422,0,2628.0,-1,38.955141829804234,39.843422,-1.0
2017-02-09,204775.41542149422,0,2628.0,0,39.49190571314423,39.555336,-1.0
2017-02-10,81398.80546544149,0,0,1,46.946959648421895,38.708317,1.0
2017-02-13,81398.80546544149,0,0,1,45.426128645625255,39.088036,1.0
2017-02-14,162771.81257690775,0,1820.0,-1,44.710443467838594,43.592545,-1.0
2017-02-15,80494.25892129447,0,0,1,45.20744706352377,43.50043,1.0
2017-02-16,80494.25892129447,0,0,1,45.11798641630045,43.57731,1.0
2017-02-17,80494.25892129447,0,0,1,45.05834598481822,44.197895,1.0
2017-02-21,80494.25892129447,0,0,1,45.06828605673193,44.28349,1.0
2017-02-22,160970.7709468638,0,1790.0,-1,44.95894526568118,44.74847,-1.0
2017-02-23,80761.14985217742,0,0,1,44.80984418697563,44.71999,1.0
2017-02-24,80761.14985217742,0,0,1,45.2770275669197,44.733776,1.0
2017-02-27,80761.14985217742,0,0,1,45.416188573711544,44.991596,1.0
2017-02-28,80761.14985217742,0,0,1,44.85954454654415,45.42322,1.0
2017-03-01,161496.62063124255,0,1723.0,-1,46.85749900119857,45.692974,-1.0
2017-03-02,81548.98007191374,0,0,1,46.4002556931682,45.30286,1.0
2017-03-03,163053.53409508592,0,1742.0,-1,46.78791849780264,46.42078,-1.0
2017-03-06,80267.62528166203,0,0,1,47.523483819416704,46.360096,1.0
2017-03-07,80267.62528166203,0,0,1,47.7719856172593,46.97084,1.0
2017-03-08,80267.62528166203,0,0,1,48.288869356771876,47.485905,1.0
2017-03-09,80267.62528166203,0,0,1,48.72623252097484,48.06386,1.0
2017-03-10,80267.62528166203,0,0,1,48.9051538154215,48.98938,1.0
2017-03-13,160518.298873352,0,1631.0,-1,49.203355972832604,49.050705,-1.0
2017-03-14,80948.54008789455,0,0,1,48.785872952457055,45.57967,1.0
2017-03-15,80948.54008789455,0,0,1,48.92503395924891,47.71381,1.0
2017-03-16,161868.4787215342,0,1658.0,-1,48.80575309628446,47.737907,-1.0
2017-03-17,80899.0981701958,0,0,1,48.83557331202557,47.666203,1.0
